"Sens Factor =-0.258dB, SERNO: 7112871"
200.735	0.3296
203.234	0.3250
205.764	0.3203
208.325	0.3153
210.919	0.3099
213.544	0.3039
216.203	0.2973
218.894	0.2902
221.619	0.2826
224.378	0.2746
227.171	0.2663
229.999	0.2579
232.862	0.2495
235.761	0.2412
238.696	0.2329
241.668	0.2248
244.676	0.2167
247.722	0.2087
250.806	0.2006
253.928	0.1926
257.089	0.1847
260.29	0.1769
263.53	0.1692
266.81	0.1616
270.132	0.1543
273.495	0.1471
276.899	0.1401
280.346	0.1332
283.836	0.1263
287.37	0.1193
290.947	0.1122
294.569	0.1051
298.236	0.0981
301.949	0.0911
305.708	0.0843
309.513	0.0778
313.366	0.0714
317.267	0.0652
321.217	0.0591
325.216	0.0532
329.264	0.0476
333.363	0.0422
337.513	0.0369
341.715	0.0317
345.969	0.0266
350.276	0.0218
354.636	0.0174
359.051	0.0132
363.521	0.0092
368.046	0.0053
372.628	0.0014
377.266	-0.0028
381.963	-0.0076
386.718	-0.0129
391.532	-0.0186
396.406	-0.0235
401.341	-0.0268
406.337	-0.0281
411.395	-0.0277
416.517	-0.0264
421.702	-0.0246
426.951	-0.0225
432.266	-0.0203
437.648	-0.0180
443.096	-0.0157
448.612	-0.0134
454.196	-0.0110
459.851	-0.0086
465.575	-0.0060
471.371	-0.0032
477.239	-0.0003
483.18	0.0027
489.195	0.0057
495.285	0.0088
501.45	0.0118
507.693	0.0146
514.013	0.0172
520.412	0.0195
526.89	0.0215
533.449	0.0232
540.09	0.0248
546.814	0.0262
553.621	0.0275
560.513	0.0290
567.49	0.0306
574.555	0.0324
581.707	0.0345
588.949	0.0366
596.281	0.0390
603.703	0.0416
611.219	0.0444
618.828	0.0477
626.531	0.0516
634.331	0.0564
642.228	0.0619
650.222	0.0678
658.317	0.0732
666.512	0.0770
674.809	0.0788
683.21	0.0790
691.715	0.0783
700.326	0.0768
709.044	0.0749
717.871	0.0728
726.807	0.0705
735.855	0.0681
745.016	0.0658
754.29	0.0635
763.68	0.0613
773.187	0.0590
782.812	0.0568
792.557	0.0546
802.424	0.0524
812.413	0.0501
822.526	0.0480
832.766	0.0459
843.133	0.0440
853.629	0.0422
864.255	0.0404
875.014	0.0387
885.907	0.0370
896.935	0.0352
908.101	0.0333
919.406	0.0312
930.851	0.0290
942.439	0.0265
954.171	0.0238
966.049	0.0210
978.076	0.0179
990.251	0.0146
1002.579	0.0112
1015.06	0.0080
1027.696	0.0049
1040.489	0.0021
1053.442	-0.0005
1066.556	-0.0028
1079.833	-0.0047
1093.276	-0.0063
1106.886	-0.0075
1120.665	-0.0082
1134.616	-0.0085
1148.741	-0.0083
1163.041	-0.0076
1177.519	-0.0064
1192.178	-0.0048
1207.019	-0.0029
1222.045	-0.0007
1237.258	0.0016
1252.66	0.0040
1268.254	0.0066
1284.042	0.0093
1300.027	0.0122
1316.211	0.0153
1332.596	0.0185
1349.185	0.0219
1365.981	0.0254
1382.985	0.0289
1400.202	0.0326
1417.633	0.0364
1435.28	0.0402
1453.148	0.0441
1471.238	0.0482
1489.553	0.0524
1508.096	0.0569
1526.87	0.0617
1545.877	0.0670
1565.121	0.0728
1584.605	0.0793
1604.332	0.0863
1624.303	0.0940
1644.524	0.1022
1664.996	0.1109
1685.723	0.1198
1706.708	0.1289
1727.955	0.1381
1749.466	0.1475
1771.244	0.1570
1793.294	0.1666
1815.618	0.1763
1838.221	0.1863
1861.104	0.1965
1884.272	0.2069
1907.729	0.2176
1931.478	0.2286
1955.523	0.2400
1979.866	0.2517
2004.513	0.2637
2029.467	0.2761
2054.731	0.2890
2080.31	0.3022
2106.207	0.3155
2132.427	0.3287
2158.973	0.3420
2185.849	0.3553
2213.06	0.3687
2240.61	0.3820
2268.503	0.3953
2296.743	0.4083
2325.334	0.4213
2354.282	0.4345
2383.59	0.4481
2413.262	0.4622
2443.305	0.4771
2473.721	0.4925
2504.515	0.5085
2535.693	0.5249
2567.26	0.5417
2599.219	0.5587
2631.576	0.5759
2664.335	0.5934
2697.503	0.6115
2731.084	0.6301
2765.082	0.6491
2799.504	0.6684
2834.354	0.6881
2869.638	0.7081
2905.362	0.7283
2941.53	0.7488
2978.148	0.7696
3015.222	0.7908
3052.758	0.8123
3090.761	0.8341
3129.237	0.8563
3168.192	0.8788
3207.632	0.9016
3247.563	0.9246
