* Measurement data measured by REW V5.31.3
* Source: Umik-1  Gain: 18dB, no input selected, R, volume: no control. Timing signal peak level -35.0 dBFS, measurement signal peak level -28.2 dBFS
* Format: 128k Log Swept Sine, 1 sweep at -20.0 dBFS using an acoustic timing reference
* Dated: Apr 18, 2026 9:09:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -1.3782 ms (-473 mm, -(1 ft 6.61 in)) using IR start time relative to Acoustic reference played from  L with no timing offset
* Measurement: Sub Only 1
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
298.8281 78.812 -7.79
299.1944 78.840 -9.25
299.5606 78.862 -10.62
299.9268 78.885 -11.97
300.2930 78.903 -13.35
300.6592 78.908 -14.74
301.0254 78.904 -16.06
301.3916 78.901 -17.31
301.7578 78.913 -18.53
302.1240 78.940 -19.83
302.4903 78.968 -21.27
302.8565 78.983 -22.84
303.2227 78.979 -24.43
303.5889 78.964 -25.97
303.9551 78.951 -27.44
304.3213 78.952 -28.91
304.6875 78.963 -30.47
305.0537 78.978 -32.16
305.4199 78.988 -33.97
305.7862 78.994 -35.87
306.1524 79.002 -37.88
306.5186 79.015 -40.08
306.8848 79.023 -42.57
307.2510 79.007 -45.41
307.6172 78.945 -48.59
307.9834 78.820 -52.00
308.3496 78.625 -55.54
308.7158 78.360 -59.12
309.0821 78.024 -62.69
309.4483 77.611 -66.20
309.8145 77.114 -69.53
310.1807 76.530 -72.49
310.5469 75.877 -74.84
310.9131 75.202 -76.36
311.2793 74.574 -77.09
311.6455 74.057 -77.38
312.0117 73.662 -77.85
312.3780 73.339 -79.00
312.7442 73.002 -81.03
313.1104 72.578 -83.74
313.4766 72.029 -86.80
313.8428 71.355 -89.90
314.2090 70.578 -92.88
314.5752 69.717 -95.87
314.9414 68.752 -99.14
315.3076 67.613 -103.01
315.6739 66.175 -107.64
316.0401 64.251 -112.97
316.4063 61.543 -118.91
316.7725 57.390 -125.62
317.1387 49.243 -136.40
317.5049 44.083 66.25
317.8711 55.197 49.66
318.2373 59.856 44.05
318.6035 62.857 39.53
318.9698 65.086 35.01
319.3360 66.837 30.18
319.7022 68.239 25.01
320.0684 69.364 19.62
320.4346 70.268 14.12
320.8008 70.994 8.54
321.1670 71.571 2.85
321.5332 72.006 -2.99
321.8994 72.294 -8.94
322.2657 72.426 -14.87
322.6319 72.406 -20.52
322.9981 72.264 -25.65
323.3643 72.053 -30.10
323.7305 71.837 -33.99
324.0967 71.657 -37.73
324.4629 71.499 -41.82
324.8291 71.296 -46.61
325.1953 70.961 -52.05
325.5615 70.423 -57.81
325.9278 69.649 -63.28
326.2940 68.659 -67.84
326.6602 67.535 -70.97
327.0264 66.406 -72.62
327.3926 65.389 -73.53
327.7588 64.479 -74.98
328.1250 63.522 -78.10
328.4912 62.273 -83.46
328.8574 60.434 -91.38
329.2237 57.573 -102.95
329.5899 52.811 -123.95
329.9561 47.049 169.89
330.3223 52.822 102.37
330.6885 57.746 80.38
331.0547 60.757 67.34
331.4209 62.718 57.04
331.7871 64.001 48.04
332.1533 64.784 39.95
332.5196 65.161 32.71
332.8858 65.187 26.47
333.2520 64.911 21.54
333.6182 64.392 18.39
333.9844 63.737 17.50
334.3506 63.117 19.07
334.7168 62.724 22.51
335.0830 62.648 26.41
335.4492 62.803 29.46
335.8155 63.018 31.21
336.1817 63.161 32.03
336.5479 63.177 32.51
336.9141 63.062 33.21
337.2803 62.838 34.57
337.6465 62.541 36.99
338.0127 62.241 40.87
338.3789 62.060 46.41
338.7451 62.142 53.13
339.1114 62.547 59.95
339.4776 63.198 65.93
339.8438 63.977 70.91
340.2100 64.833 75.21
340.5762 65.794 79.01
340.9424 66.893 82.01
341.3086 68.102 83.69
341.6748 69.332 83.77
342.0410 70.494 82.42
342.4073 71.534 80.02
342.7735 72.441 76.98
343.1397 73.226 73.62
343.5059 73.914 70.12
343.8721 74.526 66.55
344.2383 75.078 62.93
344.6045 75.583 59.24
344.9707 76.049 55.46
345.3369 76.478 51.55
345.7032 76.870 47.46
346.0694 77.216 43.15
346.4356 77.506 38.64
346.8018 77.732 34.00
347.1680 77.895 29.27
347.5342 77.999 24.51
347.9004 78.047 19.70
348.2666 78.036 14.80
348.6328 77.951 9.78
348.9991 77.769 4.71
349.3653 77.471 -0.23
349.7315 77.056 -4.75
350.0977 76.544 -8.56
350.4639 75.988 -11.46
350.8301 75.453 -13.47
351.1963 74.989 -14.89
351.5625 74.600 -16.15
351.9287 74.248 -17.50
352.2950 73.888 -18.91
352.6612 73.505 -20.12
353.0274 73.131 -20.91
353.3936 72.822 -21.32
353.7598 72.614 -21.80
354.1260 72.480 -22.85
