* Measurement data measured by REW V5.31.3
* Source: Umik-1  Gain: 18dB, no input selected, R, volume: no control. Timing signal peak level -35.0 dBFS, measurement signal peak level -25.8 dBFS
* Format: 128k Log Swept Sine, 1 sweep at -20.0 dBFS using an acoustic timing reference
* Dated: Apr 18, 2026 9:06:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0424 ms (-15 mm, -0.57 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset
* Measurement: R + Sub 3
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
150.8789 89.604 -4.26
151.2451 89.570 -6.04
151.6113 89.505 -7.81
151.9776 89.407 -9.48
152.3438 89.285 -10.97
152.7100 89.154 -12.23
153.0762 89.026 -13.27
153.4424 88.907 -14.10
153.8086 88.805 -14.72
154.1748 88.735 -15.13
154.5410 88.716 -15.37
154.9072 88.762 -15.61
155.2735 88.871 -16.07
155.6397 89.017 -16.90
156.0059 89.171 -18.12
156.3721 89.311 -19.64
156.7383 89.434 -21.33
157.1045 89.548 -23.15
157.4707 89.660 -25.16
157.8369 89.763 -27.44
158.2031 89.835 -30.04
158.5693 89.853 -32.88
158.9356 89.805 -35.79
159.3018 89.699 -38.60
159.6680 89.555 -41.20
160.0342 89.397 -43.61
160.4004 89.239 -45.94
160.7666 89.079 -48.29
161.1328 88.905 -50.72
161.4990 88.703 -53.18
161.8652 88.471 -55.60
162.2315 88.218 -57.88
162.5977 87.959 -60.03
162.9639 87.704 -62.10
163.3301 87.458 -64.18
163.6963 87.212 -66.34
164.0625 86.955 -68.64
164.4287 86.671 -71.04
164.7949 86.352 -73.49
165.1611 85.992 -75.90
165.5274 85.598 -78.19
165.8936 85.179 -80.34
166.2598 84.742 -82.39
166.6260 84.287 -84.40
166.9922 83.800 -86.44
167.3584 83.263 -88.45
167.7246 82.660 -90.33
168.0908 81.994 -91.90
168.4570 81.279 -93.02
168.8233 80.536 -93.66
169.1895 79.777 -93.85
169.5557 79.001 -93.56
169.9219 78.211 -92.67
170.2881 77.438 -90.99
170.6543 76.746 -88.53
171.0205 76.188 -85.67
171.3867 75.752 -83.03
171.7529 75.349 -80.89
172.1192 74.885 -78.90
172.4854 74.348 -76.24
172.8516 73.855 -72.19
173.2178 73.605 -66.99
173.5840 73.703 -62.05
173.9502 74.031 -58.82
174.3164 74.375 -57.56
174.6826 74.590 -57.60
175.0488 74.651 -58.05
175.4151 74.621 -58.34
175.7813 74.584 -58.47
176.1475 74.579 -58.87
176.5137 74.572 -59.98
176.8799 74.489 -61.91
177.2461 74.272 -64.42
177.6123 73.907 -67.14
177.9785 73.420 -69.85
178.3447 72.843 -72.63
178.7110 72.175 -75.86
179.0772 71.350 -79.96
179.4434 70.247 -85.14
179.8096 68.704 -91.39
180.1758 66.502 -98.58
180.5420 63.270 -106.91
180.9082 58.062 -118.64
181.2744 47.391 -163.54
181.6406 53.891 89.10
182.0069 60.268 74.19
182.3731 63.854 67.87
182.7393 66.344 63.27
183.1055 68.221 59.02
183.4717 69.665 54.85
183.8379 70.765 50.88
184.2041 71.591 47.41
184.5703 72.219 44.70
184.9365 72.739 42.90
185.3027 73.240 41.87
185.6690 73.782 41.22
186.0352 74.374 40.42
186.4014 74.975 39.12
186.7676 75.521 37.26
187.1338 75.969 35.06
187.5000 76.307 32.88
187.8662 76.565 31.02
188.2324 76.791 29.55
188.5986 77.029 28.33
188.9649 77.290 27.05
189.3311 77.548 25.47
189.6973 77.762 23.59
190.0635 77.905 21.58
190.4297 77.978 19.70
