* Measurement data measured by REW V5.31.3
* Source: Umik-1  Gain: 18dB, no input selected, R, volume: no control. Timing signal peak level -35.6 dBFS, measurement signal peak level -25.6 dBFS
* Format: 128k Log Swept Sine, 1 sweep at -20.0 dBFS using an acoustic timing reference
* Dated: Apr 18, 2026 8:59:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0494 ms (-17 mm, -0.67 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset
* Measurement: L + Sub 1
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
146.1182 91.752 21.31
146.4844 91.887 18.64
146.8506 91.986 16.04
147.2168 92.060 13.55
147.5830 92.123 11.18
147.9492 92.186 8.89
148.3154 92.254 6.60
148.6817 92.324 4.25
149.0479 92.388 1.79
149.4141 92.437 -0.79
149.7803 92.461 -3.46
150.1465 92.456 -6.16
150.5127 92.423 -8.84
150.8789 92.368 -11.44
151.2451 92.300 -13.96
151.6113 92.225 -16.42
151.9776 92.144 -18.88
152.3438 92.054 -21.37
152.7100 91.943 -23.90
153.0762 91.804 -26.42
153.4424 91.636 -28.83
153.8086 91.447 -31.07
154.1748 91.252 -33.10
154.5410 91.065 -34.96
154.9072 90.893 -36.75
155.2735 90.729 -38.53
155.6397 90.565 -40.35
156.0059 90.393 -42.15
156.3721 90.217 -43.87
156.7383 90.048 -45.51
157.1045 89.898 -47.13
157.4707 89.769 -48.85
157.8369 89.646 -50.80
158.2031 89.506 -53.00
158.5693 89.327 -55.36
158.9356 89.102 -57.74
159.3018 88.840 -59.98
159.6680 88.561 -62.04
160.0342 88.282 -63.95
160.4004 88.012 -65.82
160.7666 87.745 -67.75
161.1328 87.465 -69.76
161.4990 87.160 -71.81
161.8652 86.831 -73.80
162.2315 86.484 -75.70
162.5977 86.130 -77.49
162.9639 85.774 -79.24
163.3301 85.412 -81.02
163.6963 85.035 -82.84
164.0625 84.633 -84.67
164.4287 84.204 -86.45
164.7949 83.752 -88.15
165.1611 83.287 -89.75
165.5274 82.815 -91.32
165.8936 82.333 -92.95
166.2598 81.829 -94.73
166.6260 81.282 -96.69
166.9922 80.668 -98.79
167.3584 79.969 -100.90
167.7246 79.182 -102.89
168.0908 78.314 -104.66
168.4570 77.372 -106.23
168.8233 76.349 -107.76
169.1895 75.197 -109.40
169.5557 73.826 -111.18
169.9219 72.105 -112.71
170.2881 69.874 -113.08
170.6543 66.935 -110.31
171.0205 63.106 -99.66
171.3867 59.155 -69.53
171.7529 59.457 -23.44
172.1192 62.895 2.59
172.4854 66.042 13.87
172.8516 68.607 18.62
173.2178 70.677 19.80
173.5840 72.309 18.96
173.9502 73.568 17.21
174.3164 74.542 15.34
174.6826 75.336 13.77
175.0488 76.052 12.49
175.4151 76.750 11.18
175.7813 77.432 9.45
176.1475 78.056 7.11
176.5137 78.577 4.26
176.8799 78.974 1.20
177.2461 79.261 -1.78
177.6123 79.474 -4.50
177.9785 79.657 -6.97
178.3447 79.834 -9.41
178.7110 80.000 -12.03
179.0772 80.125 -14.98
179.4434 80.173 -18.18
179.8096 80.123 -21.42
180.1758 79.977 -24.46
180.5420 79.757 -27.09
180.9082 79.496 -29.21
181.2744 79.227 -30.89
181.6406 78.968 -32.22
182.0069 78.726 -33.34
182.3731 78.498 -34.33
182.7393 78.286 -35.26
183.1055 78.088 -36.21
183.4717 77.896 -37.30
183.8379 77.688 -38.61
184.2041 77.433 -40.14
184.5703 77.104 -41.75
184.9365 76.689 -43.20
185.3027 76.201 -44.28
185.6690 75.668 -44.88
186.0352 75.117 -45.04
186.4014 74.551 -44.93
186.7676 73.942 -44.64
187.1338 73.250 -44.02
187.5000 72.451 -42.64
187.8662 71.574 -39.92
188.2324 70.711 -35.42
188.5986 69.994 -29.14
188.9649 69.525 -21.58
189.3311 69.341 -13.37
189.6973 69.466 -4.98
190.0635 69.932 2.95
190.4297 70.710 9.38
190.7959 71.654 13.52
191.1621 72.579 15.37
191.5283 73.354 15.61
191.8945 73.938 15.09
192.2608 74.363 14.54
192.6270 74.701 14.32
192.9932 75.025 14.40
193.3594 75.369 14.51
193.7256 75.719 14.38
194.0918 76.043 13.98
194.4580 76.319 13.48
194.8242 76.553 13.07
195.1904 76.773 12.89
195.5567 77.006 12.89
195.9229 77.275 12.98
196.2891 77.590 12.99
196.6553 77.953 12.76
197.0215 78.355 12.06
197.3877 78.765 10.71
197.7539 79.134 8.65
198.1201 79.411 6.02
198.4863 79.562 3.16
198.8526 79.590 0.52
199.2188 79.537 -1.52
199.5850 79.480 -2.86
199.9512 79.490 -3.73
200.3174 79.593 -4.65
200.6836 79.754 -6.06
201.0498 79.907 -8.14
201.4160 79.995 -10.73
201.7822 79.992 -13.53
202.1485 79.904 -16.26
202.5147 79.751 -18.77
202.8809 79.555 -21.03
203.2471 79.327 -23.05
203.6133 79.069 -24.83
203.9795 78.783 -26.32
204.3457 78.482 -27.45
204.7119 78.185 -28.20
205.0781 77.915 -28.65
205.4444 77.680 -28.94
205.8106 77.474 -29.22
206.1768 77.281 -29.55
206.5430 77.089 -29.90
206.9092 76.895 -30.20
207.2754 76.707 -30.43
207.6416 76.536 -30.63
208.0078 76.386 -30.91
208.3740 76.247 -31.38
208.7403 76.100 -32.10
209.1065 75.924 -33.07
209.4727 75.706 -34.22
209.8389 75.437 -35.47
210.2051 75.114 -36.80
210.5713 74.724 -38.20
210.9375 74.247 -39.63
211.3037 73.653 -40.97
211.6699 72.919 -41.94
212.0362 72.032 -42.19
212.4024 70.998 -41.28
212.7686 69.834 -38.71
213.1348 68.571 -33.74
213.5010 67.328 -25.12
213.8672 66.500 -11.69
214.2334 66.742 4.47
214.5996 68.121 17.25
214.9658 69.917 23.53
215.3320 71.557 24.66
215.6983 72.844 22.80
216.0645 73.769 19.53
216.4307 74.391 15.89
216.7969 74.794 12.49
217.1631 75.068 9.54
217.5293 75.284 6.97
217.8955 75.478 4.55
218.2617 75.655 2.06
218.6279 75.800 -0.62
218.9942 75.906 -3.50
219.3604 75.971 -6.58
219.7266 75.994 -9.94
220.0928 75.966 -13.70
220.4590 75.861 -18.00
220.8252 75.638 -22.89
221.1914 75.253 -28.32
221.5576 74.664 -34.20
221.9238 73.825 -40.45
222.2901 72.678 -46.99
222.6563 71.131 -53.84
223.0225 69.017 -61.15
223.3887 65.989 -69.41
223.7549 61.115 -80.80
224.1211 50.640 -120.27
224.4873 56.570 122.20
224.8535 63.460 105.51
225.2197 67.268 97.69
225.5860 69.912 91.72
225.9522 71.952 86.17
226.3184 73.593 80.49
226.6846 74.911 74.53
227.0508 75.938 68.40
227.4170 76.705 62.38
227.7832 77.254 56.73
228.1494 77.643 51.67
228.5156 77.933 47.19
228.8819 78.168 43.09
229.2481 78.359 39.12
229.6143 78.478 35.11
229.9805 78.490 31.14
230.3467 78.375 27.54
230.7129 78.159 24.70
231.0791 77.910 22.88
231.4453 77.715 21.95
231.8115 77.628 21.40
232.1778 77.629 20.64
232.5440 77.646 19.41
232.9102 77.611 17.88
233.2764 77.504 16.47
233.6426 77.364 15.55
234.0088 77.258 15.15
234.3750 77.237 14.94
234.7412 77.299 14.46
235.1074 77.396 13.40
235.4737 77.476 11.77
235.8399 77.505 9.70
236.2061 77.476 7.32
236.5723 77.382 4.64
236.9385 77.201 1.61
237.3047 76.888 -1.74
237.6709 76.384 -5.18
238.0371 75.634 -8.23
238.4033 74.612 -10.08
238.7696 73.350 -9.64
239.1358 72.001 -5.66
239.5020 70.898 2.44
239.8682 70.430 13.23
240.2344 70.680 23.58
240.6006 71.379 31.44
240.9668 72.249 36.70
241.3330 73.152 39.87
241.6992 74.022 41.36
242.0654 74.812 41.47
242.4317 75.480 40.52
242.7979 76.003 38.93
243.1641 76.383 37.15
243.5303 76.655 35.54
243.8965 76.873 34.26
244.2627 77.093 33.27
244.6289 77.346 32.28
244.9951 77.630 31.00
245.3613 77.914 29.20
245.7276 78.156 26.87
246.0938 78.322 24.14
246.4600 78.399 21.22
246.8262 78.389 18.31
247.1924 78.309 15.54
247.5586 78.179 12.93
247.9248 78.011 10.43
248.2910 77.805 7.92
248.6572 77.540 5.33
249.0235 77.190 2.69
249.3897 76.726 0.14
249.7559 76.128 -2.06
250.1221 75.396 -3.60
250.4883 74.545 -4.13
250.8545 73.613 -3.37
251.2207 72.648 -1.11
251.5869 71.702 2.78
251.9531 70.834 8.46
252.3194 70.137 16.07
252.6856 69.760 25.47
253.0518 69.868 35.65
253.4180 70.484 44.79
253.7842 71.422 51.42
254.1504 72.432 55.34
254.5166 73.339 57.24
254.8828 74.078 58.08
255.2490 74.672 58.68
255.6153 75.197 59.49
255.9815 75.741 60.53
256.3477 76.356 61.39
256.7139 77.029 61.61
257.0801 77.702 60.95
257.4463 78.315 59.49
257.8125 78.834 57.50
258.1787 79.253 55.28
258.5449 79.587 53.00
258.9112 79.850 50.79
259.2774 80.057 48.69
259.6436 80.215 46.76
260.0098 80.341 45.08
260.3760 80.457 43.66
260.7422 80.588 42.41
261.1084 80.746 41.17
261.4746 80.921 39.74
261.8408 81.084 38.01
262.2071 81.207 36.05
262.5733 81.272 34.00
262.9395 81.278 32.06
263.3057 81.239 30.36
263.6719 81.174 28.96
264.0381 81.099 27.87
264.4043 81.025 27.10
264.7705 80.965 26.64
265.1367 80.936 26.48
265.5030 80.960 26.54
265.8692 81.048 26.65
266.2354 81.199 26.60
266.6016 81.396 26.26
266.9678 81.614 25.53
267.3340 81.834 24.42
267.7002 82.038 22.97
268.0664 82.215 21.20
268.4326 82.354 19.18
268.7988 82.446 16.95
269.1651 82.483 14.59
269.5313 82.461 12.18
269.8975 82.379 9.80
270.2637 82.238 7.54
270.6299 82.041 5.47
270.9961 81.791 3.68
271.3623 81.496 2.26
271.7285 81.170 1.33
272.0947 80.837 0.97
272.4610 80.528 1.18
272.8272 80.276 1.89
273.1934 80.105 2.91
273.5596 80.024 4.00
273.9258 80.023 4.94
274.2920 80.080 5.59
274.6582 80.172 5.88
275.0244 80.282 5.83
275.3906 80.392 5.44
275.7569 80.492 4.75
276.1231 80.569 3.78
276.4893 80.608 2.61
276.8555 80.601 1.35
277.2217 80.548 0.12
277.5879 80.455 -0.98
277.9541 80.336 -1.89
278.3203 80.201 -2.60
278.6865 80.051 -3.14
279.0528 79.886 -3.45
279.4190 79.710 -3.44
279.7852 79.548 -2.97
280.1514 79.444 -2.08
280.5176 79.440 -1.02
280.8838 79.543 -0.23
281.2500 79.712 -0.10
281.6162 79.880 -0.77
281.9824 79.983 -2.09
282.3487 79.986 -3.75
282.7149 79.885 -5.39
283.0811 79.697 -6.73
283.4473 79.454 -7.62
283.8135 79.188 -7.98
284.1797 78.926 -7.82
284.5459 78.697 -7.17
284.9121 78.525 -6.16
285.2783 78.427 -4.97
285.6446 78.400 -3.81
286.0108 78.426 -2.82
286.3770 78.481 -2.02
286.7432 78.559 -1.34
287.1094 78.665 -0.73
287.4756 78.812 -0.26
287.8418 79.000 -0.10
288.2080 79.205 -0.38
288.5742 79.395 -1.13
288.9405 79.540 -2.21
289.3067 79.630 -3.46
289.6729 79.669 -4.73
290.0391 79.665 -5.92
290.4053 79.623 -6.99
290.7715 79.547 -7.86
291.1377 79.444 -8.41
291.5039 79.343 -8.53
291.8701 79.282 -8.24
292.2364 79.296 -7.74
292.6026 79.389 -7.35
292.9688 79.535 -7.33
293.3350 79.695 -7.72
293.7012 79.843 -8.40
294.0674 79.978 -9.24
294.4336 80.112 -10.20
294.7998 80.251 -11.35
295.1660 80.386 -12.78
295.5323 80.496 -14.50
295.8985 80.562 -16.42
296.2647 80.581 -18.38
296.6309 80.566 -20.26
296.9971 80.536 -22.04
297.3633 80.504 -23.79
297.7295 80.469 -25.61
298.0957 80.418 -27.54
298.4619 80.340 -29.56
298.8281 80.227 -31.56
299.1944 80.084 -33.47
299.5606 79.922 -35.20
299.9268 79.757 -36.73
300.2930 79.609 -38.09
300.6592 79.495 -39.36
301.0254 79.428 -40.72
301.3916 79.401 -42.42
301.7578 79.386 -44.64
302.1240 79.339 -47.44
302.4903 79.214 -50.73
302.8565 78.980 -54.26
303.2227 78.628 -57.68
303.5889 78.177 -60.67
303.9551 77.669 -63.02
304.3213 77.161 -64.68
304.6875 76.699 -65.84
305.0537 76.304 -66.82
305.4199 75.966 -67.90
305.7862 75.657 -69.24
306.1524 75.354 -70.83
306.5186 75.052 -72.65
306.8848 74.758 -74.72
307.2510 74.474 -77.20
307.6172 74.183 -80.31
307.9834 73.849 -84.20
308.3496 73.423 -88.90
308.7158 72.859 -94.29
309.0821 72.127 -100.15
309.4483 71.215 -106.23
309.8145 70.126 -112.34
310.1807 68.869 -118.33
310.5469 67.457 -124.09
310.9131 65.907 -129.50
311.2793 64.258 -134.33
311.6455 62.613 -138.29
312.0117 61.176 -141.38
312.3780 60.221 -144.40
312.7442 59.942 -148.98
313.1104 60.328 -156.29
313.4766 61.233 -166.06
313.8428 62.490 -177.03
314.2090 63.948 171.99
314.5752 65.491 161.63
314.9414 67.035 152.04
315.3076 68.521 143.12
315.6739 69.911 134.75
316.0401 71.185 126.87
316.4063 72.339 119.45
316.7725 73.385 112.46
317.1387 74.339 105.86
317.5049 75.218 99.53
317.8711 76.028 93.37
318.2373 76.770 87.29
318.6035 77.442 81.23
318.9698 78.042 75.18
319.3360 78.571 69.13
319.7022 79.035 63.10
320.0684 79.436 57.04
320.4346 79.779 50.94
320.8008 80.066 44.75
321.1670 80.295 38.40
321.5332 80.463 31.86
321.8994 80.558 25.06
322.2657 80.565 17.99
322.6319 80.466 10.67
322.9981 80.244 3.19
323.3643 79.887 -4.33
323.7305 79.392 -11.75
324.0967 78.762 -18.97
324.4629 78.003 -25.91
324.8291 77.115 -32.56
325.1953 76.085 -38.92
325.5615 74.887 -44.93
325.9278 73.487 -50.38
326.2940 71.855 -54.86
326.6602 69.997 -57.78
327.0264 67.977 -58.54
327.3926 65.918 -56.96
327.7588 63.911 -53.76
328.1250 61.830 -50.15
328.4912 59.207 -46.05
328.8574 55.173 -36.60
329.2237 49.885 5.05
329.5899 54.042 62.51
329.9561 59.269 73.51
330.3223 62.576 72.41
330.6885 64.759 67.80
331.0547 66.221 61.83
331.4209 67.164 55.26
331.7871 67.698 48.42
332.1533 67.878 41.45
332.5196 67.724 34.47
332.8858 67.223 27.55
333.2520 66.331 20.89
333.6182 64.968 14.86
333.9844 63.003 10.19
334.3506 60.219 8.52
334.7168 56.292 14.43
335.0830 51.754 42.47
335.4492 52.316 90.24
335.8155 55.880 111.33
336.1817 58.414 118.76
336.5479 60.047 123.01
336.9141 61.162 127.52
337.2803 62.109 133.63
337.6465 63.232 141.17
338.0127 64.726 148.44
338.3789 66.502 153.59
338.7451 68.330 156.09
339.1114 70.045 156.50
339.4776 71.597 155.64
339.8438 73.010 154.08
340.2100 74.331 152.01
340.5762 75.587 149.39
340.9424 76.774 146.10
341.3086 77.867 142.12
341.6748 78.842 137.57
342.0410 79.686 132.66
342.4073 80.403 127.60
342.7735 81.009 122.53
343.1397 81.520 117.54
343.5059 81.951 112.63
343.8721 82.305 107.81
344.2383 82.586 103.12
344.6045 82.794 98.60
344.9707 82.940 94.35
345.3369 83.039 90.41
345.7032 83.106 86.76
346.0694 83.155 83.35
346.4356 83.186 80.11
346.8018 83.194 76.98
347.1680 83.175 74.00
347.5342 83.126 71.22
347.9004 83.056 68.70
348.2666 82.978 66.47
348.6328 82.907 64.48
348.9991 82.851 62.67
349.3653 82.810 60.96
349.7315 82.786 59.31
350.0977 82.776 57.67
350.4639 82.781 55.99
350.8301 82.796 54.19
351.1963 82.809 52.22
351.5625 82.805 50.04
351.9287 82.764 47.72
352.2950 82.675 45.34
352.6612 82.536 43.03
353.0274 82.354 40.89
353.3936 82.139 38.99
353.7598 81.901 37.33
